Date,Open,High,Low,Close,Adj Close,Volume
1980-12-11,4.75,4.875,4.71875,4.875,3.9957332611083984,297600
1980-12-12,4.96875,5.0625,4.96875,4.96875,4.072575092315674,312800
1980-12-15,4.96875,4.96875,4.828125,4.921875,4.034153461456299,106400
1980-12-16,4.890625,4.890625,4.75,4.828125,3.957312822341919,365600
1980-12-17,4.890625,5.1875,4.890625,5.1875,4.251869201660156,320800
1980-12-18,5.21875,5.375,5.21875,5.25,4.303099155426025,528800
1980-12-19,5.25,5.328125,5.234375,5.3125,4.354324817657471,187200
1980-12-22,5.328125,5.46875,5.328125,5.46875,4.482393741607666,216800
1980-12-23,5.4375,5.4375,5.3125,5.3125,4.354324817657471,100000
1980-12-24,5.3125,5.328125,5.21875,5.28125,4.3287129402160645,139200
1980-12-26,5.28125,5.3125,5.25,5.3125,4.354324817657471,33600
1980-12-29,5.3125,5.421875,5.3125,5.328125,4.367132663726807,147200
1980-12-30,5.328125,5.375,5.28125,5.34375,4.379937648773193,77600
1980-12-31,5.34375,5.53125,5.34375,5.53125,4.533620834350586,131200
1981-01-02,5.53125,5.671875,5.46875,5.671875,4.648880958557129,243200
1981-01-05,5.671875,5.90625,5.671875,5.78125,4.738529205322266,247200
1981-01-06,5.78125,5.90625,5.5,5.5,4.508006572723389,361600
1981-01-07,5.25,5.25,5.0625,5.1875,4.251869201660156,711200
1981-01-08,5.1875,5.28125,5.15625,5.171875,4.2390642166137695,423200
1981-01-09,5.171875,5.5,5.15625,5.28125,4.3287129402160645,239200
1981-01-12,5.296875,5.40625,5.296875,5.3125,4.354324817657471,174400
1981-01-13,5.3125,5.34375,5.265625,5.265625,4.315904140472412,62400
1981-01-14,5.265625,5.28125,5.1875,5.1875,4.251869201660156,176800
1981-01-15,5.1875,5.21875,5.171875,5.21875,4.277486801147461,68000
1981-01-16,5.234375,5.578125,5.234375,5.578125,4.5720391273498535,273600
1981-01-19,5.578125,5.71875,5.578125,5.625,4.610462188720703,220800
1981-01-20,5.625,5.65625,5.625,5.625,4.610462188720703,260800
1981-01-21,5.625,5.625,5.625,5.625,4.610462188720703,2020800
1981-01-22,5.625,5.625,5.421875,5.53125,4.533620834350586,719200
1981-01-23,5.53125,5.5625,5.5,5.5625,4.559234142303467,164800
1981-01-26,5.5625,5.5625,5.5,5.5625,4.559234142303467,896800
1981-01-27,5.578125,5.6875,5.578125,5.6875,4.661691188812256,384800
1981-01-28,5.6875,5.71875,5.65625,5.65625,4.636075019836426,439200
1981-01-29,5.625,5.625,5.5625,5.59375,4.584848403930664,381600
1981-01-30,5.578125,5.578125,5.34375,5.34375,4.379937648773193,132800
1981-02-02,5.3125,5.3125,5.140625,5.25,4.303099155426025,310400
1981-02-03,5.25,5.3125,5.15625,5.3125,4.354324817657471,227200
